vehicle_brand,vehicle_type,battery_chemistry,drive_type,cycle_count,odometer_km,vehicle_age_years,capacity_loss_percent,cell_voltage_std,internal_resistance,thermal_runaway_risk,battery_stress_index,daily_distance,manufacturing_year,battery_capacity_kwh,depth_of_discharge,battery_failure
Tesla,Hatchback,NCA,RWD,1.0,12766.0,2.08,0.2,0.0066,0.3089,64.1,21.1,30.7,2024.0,59.49,,0
BYD,Van,LFP,FWD,44.0,36019.0,1.92,0.2,0.00629,0.585,23.8,26.6,68.3,2024.0,91.97,38.15,0
GM,Hatchback,NMC,AWD,1161.0,211278.0,9.8,40.72,0.0317,0.7875,67.1,29.3,74.5,2016.0,40.66,37.86,1
MG,Truck,NMC,FWD,250.0,142757.0,,23.94,0.02691,0.6922,67.5,100.0,59.6,2018.0,117.23,51.55,1
Tesla,Hatchback,NCA,RWD,848.0,158206.0,7.48,46.18,0.03617,0.6851,83.9,64.2,73.7,2018.0,38.54,38.62,1
Renault,Sedan,LMO,RWD,709.0,197616.0,5.97,59.26,0.04141,0.951,68.4,65.7,114.5,2020.0,,41.45,1
Volkswagen,SUV,NMC,AWD,494.0,202035.0,7.05,32.04,,0.6302,55.0,71.4,99.8,2019.0,93.67,45.79,1
BYD,Crossover,LFP,AWD,831.0,,8.92,12.56,0.0236,0.6958,35.7,35.4,95.3,2017.0,70.26,37.32,1
Tata,SUV,LFP,FWD,4.0,24417.0,4.18,0.2,0.01177,0.551,13.7,41.3,23.8,2022.0,86.66,56.96,0
Renault,Sedan,NMC,FWD,1129.0,362541.0,10.03,41.74,0.03088,0.7686,68.8,35.6,118.5,2016.0,63.95,29.47,1
Ford,SUV,LFP,AWD,57.0,78205.0,10.88,0.2,0.0163,0.5655,15.7,18.7,24.4,2015.0,85.6,37.9,0
Tata,SUV,NMC,AWD,,332510.0,11.1,43.12,0.03368,0.7593,69.6,,100.9,2015.0,84.54,54.21,1
Volkswagen,Crossover,LFP,AWD,32.0,,1.98,0.2,0.00751,0.5353,30.1,24.6,77.2,2024.0,60.51,26.27,0
Toyota,Hatchback,LFP,AWD,260.0,48077.0,5.02,8.96,0.01288,0.7148,42.9,69.9,32.0,2021.0,38.23,41.18,0
,Crossover,NMC,AWD,93.0,35573.0,4.9,7.32,0.0102,0.4936,51.3,18.3,30.1,2021.0,71.11,17.76,0
Toyota,SUV,NMC,RWD,271.0,106578.0,5.76,17.05,0.01678,0.5209,73.3,,,2020.0,87.09,37.27,1
BYD,Sedan,LFP,RWD,11.0,34619.0,4.19,0.2,0.01037,0.5185,30.5,22.8,28.3,2022.0,83.22,35.76,0
Tesla,SUV,NCA,FWD,148.0,102119.0,4.85,,0.0245,0.4514,65.6,39.4,70.1,2021.0,103.99,49.77,1
BMW,SUV,NMC,FWD,328.0,163873.0,9.16,12.23,0.01957,0.4807,54.5,38.2,60.8,2017.0,97.37,44.51,0
Volkswagen,Sedan,NMC,RWD,101.0,59294.0,4.86,9.12,0.013,0.4422,46.5,22.2,39.5,2021.0,66.63,45.29,0
Renault,Sedan,NMC,FWD,1.0,9080.0,4.07,,0.01226,0.3834,45.5,45.0,9.8,2022.0,73.35,66.22,0
Volkswagen,Hatchback,NMC,RWD,1891.0,387227.0,9.92,56.28,0.03935,0.8802,68.3,50.6,131.2,2016.0,41.66,36.65,1
Ford,Hatchback,NMC,FWD,1512.0,306034.0,8.96,51.38,0.03428,0.8721,83.4,62.3,114.9,2017.0,40.84,32.73,1
GM,Sedan,NMC,FWD,485.0,118880.0,7.98,28.24,0.0289,0.6413,60.3,48.3,49.4,2018.0,54.57,29.93,1
Ford,Crossover,LFP,RWD,306.0,89210.0,6.09,0.2,0.01307,0.5299,18.7,29.0,53.8,2020.0,58.0,44.36,0
Honda,Van,NMC,FWD,1.0,3046.0,1.93,1.12,0.0018,0.4165,43.8,43.7,13.6,2024.0,,48.11,0
Tesla,Crossover,NMC,FWD,212.0,91868.0,6.86,13.01,0.0205,0.5813,58.4,45.8,48.1,2019.0,79.24,37.35,0
Tata,Sedan,NMC,AWD,534.0,209812.0,10.02,32.58,0.02882,0.7683,72.3,85.4,70.7,2016.0,70.45,44.31,1
Tesla,SUV,NMC,FWD,17.0,,2.06,0.2,0.00645,,42.1,32.4,3.0,2024.0,84.14,53.62,0
Hyundai,SUV,NMC,FWD,400.0,220206.0,8.07,33.61,0.02664,0.8047,85.1,,89.3,2018.0,95.66,63.7,1
Toyota,Sedan,NMC,FWD,381.0,127674.0,,19.8,0.0228,0.55,64.4,22.3,111.3,2022.0,,17.59,0
Tesla,SUV,NCA,AWD,,5057.0,7.35,0.2,0.01474,,59.2,,3.0,2019.0,84.16,30.64,0
Volvo,Van,NMC,AWD,681.0,287626.0,,33.54,0.03286,0.7036,64.3,39.5,,2017.0,77.67,36.84,1
Toyota,SUV,NMC,FWD,795.0,335341.0,11.07,40.86,0.03731,0.6993,61.9,37.9,98.3,2015.0,,34.09,1
BMW,Hatchback,NMC,FWD,468.0,94470.0,6.09,26.85,0.03,0.613,65.9,,46.2,2020.0,49.56,37.76,1
Toyota,Crossover,NMC,RWD,136.0,39891.0,2.17,,0.01263,0.4464,51.4,15.0,57.7,,56.16,32.52,0
Nissan,Sedan,NMC,RWD,840.0,389548.0,11.26,40.29,0.03588,0.6743,79.2,50.2,115.6,2015.0,82.85,41.38,1
Toyota,Crossover,LFP,AWD,772.0,275348.0,9.16,,0.01634,0.6371,17.1,17.7,98.3,2017.0,65.62,29.48,0
Tesla,Truck,NCA,AWD,331.0,192617.0,6.08,28.69,0.02197,0.59,88.6,72.9,104.9,2020.0,118.21,38.16,1
Tesla,SUV,NCA,RWD,737.0,301251.0,7.95,49.71,0.03962,0.8164,97.8,79.9,131.6,2018.0,83.52,24.84,1
Tesla,Sedan,NMC,RWD,648.0,220912.0,8.08,33.36,0.03294,,70.7,70.4,92.9,2018.0,67.85,44.78,1
Tesla,Hatchback,NCA,FWD,1074.0,200489.0,9.04,51.12,0.0486,0.749,100.0,34.9,74.8,2017.0,38.3,18.02,1
BYD,SUV,LFP,RWD,,,10.09,15.57,0.01765,0.7601,34.8,44.2,123.4,2016.0,95.53,36.48,0
Lucid,Hatchback,NCA,AWD,923.0,229091.0,10.82,47.09,0.03889,0.6593,82.9,38.3,74.2,2015.0,49.87,50.01,1
Nissan,Hatchback,NMC,FWD,602.0,181361.0,7.05,31.31,0.03359,0.7193,,39.4,94.7,2019.0,57.5,38.03,0
BYD,Hatchback,LFP,FWD,199.0,67280.0,2.12,2.36,0.01288,0.5791,25.9,21.7,98.5,2024.0,55.45,31.71,0
Ford,Van,LFP,RWD,,71121.0,3.04,0.2,0.01095,0.5559,15.2,52.5,84.0,2023.0,88.8,53.95,0
Honda,Hatchback,NMC,FWD,815.0,184777.0,5.0,34.93,0.01889,0.6889,64.9,21.8,125.3,2021.0,42.05,14.29,1
Ford,,NMC,FWD,435.0,118962.0,5.9,21.11,0.03048,0.5593,61.3,53.7,69.7,2020.0,51.48,37.69,0
BMW,Crossover,NMC,FWD,179.0,11132.0,2.97,11.21,0.01551,0.4667,55.3,37.7,3.0,2023.0,59.26,59.13,0
Tata,Crossover,LFP,FWD,147.0,1630.0,6.03,7.83,0.01245,0.6311,19.6,30.6,3.0,2020.0,70.53,33.14,0
Rivian,Crossover,NCA,AWD,,151680.0,4.96,33.17,0.02324,1.8837,,78.5,101.2,2021.0,63.43,,1
GM,Sedan,NMC,RWD,195.0,66814.0,1.78,7.87,0.00945,0.4687,49.4,51.8,78.6,2024.0,64.05,62.13,0
Tesla,Truck,NCA,AWD,364.0,206475.0,8.22,34.38,0.03466,0.7014,96.2,99.6,80.2,2018.0,121.57,38.18,1
Rivian,Sedan,NMC,AWD,891.0,307598.0,9.16,34.97,0.03117,0.6641,59.9,53.6,110.2,2017.0,66.38,44.3,1
Mercedes,Van,NMC,FWD,870.0,366147.0,11.28,39.8,,0.7493,66.9,59.6,107.3,2015.0,83.89,51.74,1
Lucid,Sedan,NMC,FWD,53.0,23678.0,8.96,17.29,0.02065,2.66322,63.8,100.0,7.0,2017.0,59.06,44.71,1
Toyota,Hatchback,NMC,RWD,95.0,14893.0,6.12,9.05,0.01679,0.4611,51.9,43.9,8.8,2020.0,50.56,36.1,0
Tesla,Crossover,,RWD,1.0,500.0,4.96,2.36,0.00907,0.406,70.7,66.9,3.0,2021.0,86.61,49.35,0
Renault,Hatchback,LMO,AWD,685.0,184364.0,,52.41,0.03598,0.8816,58.8,60.2,61.3,2016.0,52.39,53.08,1
GM,Van,NMC,FWD,540.0,222502.0,10.68,28.19,0.02473,0.594,57.6,59.5,67.8,2015.0,78.09,,1
Renault,Sedan,NMC,FWD,1.0,2798.0,2.55,0.2,0.0071,0.4006,46.0,3.0,19.8,2023.0,82.11,5.16,0
Renault,Hatchback,NMC,RWD,699.0,187492.0,4.45,27.62,0.022,0.6519,56.4,34.6,136.1,2022.0,55.47,37.49,0
Hyundai,,NMC,FWD,232.0,143350.0,8.99,12.02,0.01556,0.5332,56.0,67.5,51.1,2017.0,113.62,51.99,1
Honda,Sedan,NMC,RWD,578.0,147279.0,7.9,41.34,0.03523,0.9087,85.8,91.8,61.7,2018.0,57.62,27.18,1
Volvo,,NMC,RWD,1373.0,344161.0,9.22,50.47,0.03887,0.7721,68.3,28.5,125.7,2017.0,49.95,28.93,1
Mahindra,,NMC,FWD,1.0,2414.0,6.85,0.2,0.01357,0.3897,42.7,16.3,3.0,2019.0,93.49,40.19,0
Nissan,Van,LMO,FWD,615.0,243370.0,9.19,51.12,0.03987,0.9556,87.5,24.3,87.6,2017.0,80.61,36.4,1
BMW,,NCA,AWD,535.0,219609.0,11.03,31.95,0.02791,0.5766,69.9,50.0,65.4,2015.0,80.58,44.59,1
Renault,Truck,NMC,RWD,717.0,351094.0,7.92,,0.02954,0.6664,61.0,42.5,142.9,2018.0,,51.09,1
Mercedes,SUV,NMC,FWD,168.0,71367.0,3.7,6.86,0.01059,0.407,46.1,33.0,72.0,2022.0,77.51,22.23,0
Volkswagen,SUV,NMC,FWD,824.0,321989.0,10.93,38.95,0.03781,0.6759,63.0,42.9,98.2,2015.0,89.9,23.25,1
Renault,SUV,LMO,RWD,175.0,78325.0,4.83,19.39,0.02172,0.61,47.6,46.2,42.8,2021.0,76.46,51.06,0
Tesla,SUV,NCA,AWD,267.0,113415.0,4.04,26.01,0.02969,0.6541,84.1,95.7,91.7,2022.0,84.23,36.65,1
BYD,SUV,LFP,FWD,7.0,26225.0,9.02,0.2,0.01259,0.5668,21.0,24.5,9.1,2017.0,91.9,36.38,0
Renault,Hatchback,NMC,RWD,364.0,82013.0,3.77,23.91,0.02226,0.7127,66.6,34.7,,2022.0,49.94,21.42,0
Tesla,Hatchback,NMC,FWD,378.0,122741.0,,21.81,0.02612,0.6019,61.9,40.5,45.1,2016.0,54.92,27.93,1
Hyundai,Crossover,NMC,FWD,269.0,74328.0,3.89,9.94,0.01468,0.492,47.1,32.3,64.8,2022.0,60.1,45.04,0
Tata,Truck,LFP,RWD,157.0,500.0,7.95,1.31,0.01324,0.616,23.7,37.0,3.0,2018.0,100.87,53.37,0
Ford,,NMC,RWD,1230.0,336542.0,9.79,47.62,0.03601,0.8093,66.8,27.3,118.7,2016.0,52.4,27.69,1
Volvo,Crossover,NMC,FWD,721.0,253214.0,11.13,35.38,0.04063,0.7342,73.0,56.9,76.0,2015.0,71.86,51.96,1
Lucid,Hatchback,NCA,FWD,860.0,236615.0,8.15,45.4,0.03405,0.6679,83.5,39.4,96.2,2018.0,56.85,22.45,1
Renault,Crossover,NMC,AWD,1006.0,422791.0,10.06,45.53,0.03869,0.7216,69.5,64.1,,2016.0,75.1,39.27,1
BYD,Sedan,LFP,FWD,1.0,500.0,6.08,0.2,0.00781,0.5558,13.9,51.8,3.0,2020.0,59.42,46.49,0
Nissan,Sedan,LMO,AWD,729.0,214295.0,5.97,60.53,0.04562,1.0072,77.8,59.3,121.7,,62.21,44.76,1
Kia,Sedan,NMC,AWD,448.0,153917.0,11.24,32.28,0.03861,0.7078,75.8,53.1,44.3,2015.0,64.8,30.0,1
BMW,Sedan,NMC,RWD,,283892.0,11.04,42.63,0.03411,0.7203,57.3,83.6,87.1,2015.0,63.17,68.55,1
Hyundai,SUV,NMC,,146.0,89667.0,11.31,11.06,0.01896,,48.8,55.5,28.4,,94.49,57.24,0
BMW,Hatchback,NMC,RWD,111.0,38894.0,3.06,3.28,0.01503,0.3967,46.6,0.0,44.6,2023.0,48.58,29.12,0
BMW,Crossover,NCA,AWD,427.0,127579.0,3.67,42.36,0.029,,92.1,,122.1,,65.51,50.55,1
Renault,SUV,NMC,FWD,115.0,49716.0,,8.63,0.01254,0.4056,46.9,62.5,64.3,2024.0,80.54,51.3,0
Renault,Crossover,NMC,RWD,1033.0,351829.0,9.11,45.82,,0.7245,70.2,,128.4,2017.0,68.52,41.97,1
Lucid,SUV,NCA,AWD,644.0,287021.0,9.1,37.61,0.03354,0.6159,82.0,40.4,106.4,2017.0,92.74,42.61,1
Tesla,Sedan,NCA,FWD,1834.0,432018.0,11.23,60.93,0.05082,,88.0,48.4,128.7,2015.0,,49.58,1
Tesla,Truck,NMC,FWD,185.0,112066.0,7.02,3.62,0.00973,0.3812,50.9,17.8,48.7,2019.0,109.19,26.69,0
Ford,SUV,LFP,AWD,255.0,107840.0,9.86,2.73,0.01841,0.6465,27.2,45.3,35.0,2016.0,87.85,57.1,0
MG,Crossover,NMC,RWD,423.0,143786.0,6.1,21.6,,0.5577,52.8,57.3,77.4,2020.0,67.42,56.55,0
Toyota,SUV,NMC,FWD,726.0,362775.0,10.75,38.79,0.02797,0.7659,59.8,89.3,116.5,,108.83,74.26,1
Toyota,Sedan,NMC,FWD,106.0,26839.0,4.11,6.98,0.01342,0.3414,51.9,63.5,22.0,2022.0,67.63,65.38,0
Mercedes,Sedan,NMC,FWD,433.0,155701.0,10.81,22.22,0.02813,0.581,63.7,28.9,45.9,2015.0,,25.18,1
BYD,Sedan,NMC,FWD,841.0,,9.23,31.63,0.03009,0.6507,63.2,,100.6,2017.0,64.16,47.18,1
,Sedan,NMC,FWD,225.0,72018.0,6.69,12.97,0.00946,0.4695,,38.5,32.8,2019.0,72.89,49.79,0
Tesla,SUV,NCA,FWD,543.0,281017.0,11.22,34.94,0.02744,0.6069,75.2,73.9,,2015.0,95.77,53.6,1
Hyundai,Sedan,NMC,RWD,897.0,264722.0,6.98,48.43,0.03903,0.9097,81.0,,121.0,2019.0,57.75,27.03,1
Tesla,Sedan,NMC,RWD,464.0,132008.0,11.01,26.88,,0.6004,57.1,43.8,39.7,2015.0,66.26,,1
Tesla,Hatchback,NCA,FWD,440.0,110728.0,9.13,31.58,0.03191,0.5401,67.7,54.6,37.6,2017.0,45.34,47.98,0
Toyota,Hatchback,LFP,AWD,2186.0,394098.0,9.78,32.04,0.03188,0.9699,34.3,71.8,133.8,2016.0,36.58,54.99,1
MG,SUV,LFP,AWD,34.0,46681.0,4.76,0.2,0.00872,0.5983,17.1,26.9,32.1,,76.5,36.8,0
BMW,Hatchback,NMC,RWD,539.0,138202.0,9.88,29.83,0.02335,0.6453,54.0,37.3,42.8,2016.0,47.31,30.44,1
BYD,Sedan,LTO,RWD,540.0,,6.94,0.68,0.01175,0.2283,14.4,77.8,20.8,2019.0,67.82,62.58,0
BYD,Hatchback,LFP,FWD,123.0,36776.0,3.21,0.2,0.00968,0.6154,18.9,38.4,47.7,2023.0,61.75,21.19,0
Tata,SUV,NMC,FWD,153.0,67602.0,3.15,12.7,0.02095,0.5079,45.4,79.3,,2023.0,88.39,,0
Hyundai,Hatchback,NMC,AWD,1991.0,314498.0,11.06,59.53,0.04042,0.8258,67.7,53.4,95.1,2015.0,31.81,56.45,1
Kia,Truck,NMC,AWD,1.0,11215.0,11.07,,0.01586,0.3662,46.5,33.5,3.0,2015.0,102.29,27.79,0
BYD,Sedan,LFP,FWD,756.0,280218.0,8.77,,0.03041,0.7975,46.8,76.2,110.1,2017.0,82.21,51.66,1
Volkswagen,Crossover,NMC,AWD,592.0,191134.0,5.2,34.86,0.01844,0.7013,73.1,39.9,,2021.0,64.85,16.06,1
Audi,Sedan,NMC,RWD,60.0,15701.0,1.91,,0.01312,0.4198,45.1,40.7,34.3,2024.0,51.5,47.25,0
BMW,Sedan,NMC,FWD,208.0,98957.0,5.72,13.11,0.01461,0.5064,,48.2,53.1,2020.0,71.23,33.91,0
Tesla,Crossover,NCA,AWD,285.0,106034.0,,18.51,0.0258,0.4764,69.3,8.6,40.5,2017.0,80.81,22.67,0
Hyundai,SUV,NMC,AWD,357.0,126955.0,6.78,19.7,0.01817,0.5917,67.0,16.0,62.2,2019.0,95.02,28.74,0
Tesla,SUV,NCA,RWD,604.0,256236.0,7.03,37.43,0.01775,0.5645,79.0,48.7,121.0,2019.0,85.77,18.59,1
Hyundai,Van,NMC,FWD,1.0,500.0,7.96,3.68,0.01631,0.4415,51.8,43.4,3.0,2018.0,81.26,38.07,0
MG,SUV,LFP,FWD,116.0,47644.0,2.82,1.22,0.01055,0.546,23.8,12.2,55.1,2023.0,91.33,31.42,0
Mercedes,Hatchback,NMC,AWD,83.0,16801.0,2.87,5.17,0.01503,0.3865,46.0,17.2,13.0,2023.0,43.76,28.48,0
Honda,Hatchback,NMC,FWD,805.0,129213.0,9.9,39.02,0.03005,0.6879,65.4,43.0,47.1,2016.0,31.15,29.94,1
Ford,Sedan,NMC,RWD,1036.0,271877.0,6.9,48.82,0.03715,0.7725,65.9,54.1,134.0,2019.0,56.37,,1
GM,Hatchback,LTO,RWD,287.0,188035.0,6.99,3.88,,0.2252,8.8,34.3,90.8,2019.0,52.0,33.13,0
Hyundai,Crossover,NMC,RWD,1183.0,385577.0,8.8,46.12,0.03991,0.7854,58.7,27.4,142.5,2017.0,64.87,45.4,1
Renault,SUV,NMC,RWD,646.0,244473.0,,35.52,0.03786,0.6419,62.2,66.6,102.4,,79.65,49.85,1
Renault,Crossover,,RWD,495.0,187675.0,10.98,24.63,0.02724,0.5709,65.2,24.4,,2015.0,77.34,34.18,1
BYD,Hatchback,NMC,FWD,733.0,207364.0,8.92,37.35,0.02925,0.6905,66.1,57.5,80.4,2017.0,56.06,58.22,1
Hyundai,Truck,NMC,RWD,747.0,424062.0,10.04,31.91,0.02659,0.675,62.1,44.7,140.4,2016.0,118.09,48.07,1
Mercedes,Sedan,,FWD,190.0,36289.0,7.07,7.38,0.01233,0.4666,48.9,18.4,17.1,2019.0,61.05,33.95,0
Kia,SUV,NMC,RWD,285.0,174728.0,8.72,26.12,0.02828,0.1164,65.9,86.1,69.0,2017.0,97.67,,1
,Crossover,LFP,RWD,127.0,36152.0,4.15,0.2,0.00898,0.5391,13.8,41.7,26.5,2022.0,63.57,43.21,0
BMW,Hatchback,NCA,FWD,293.0,81583.0,4.07,19.58,0.01482,0.4296,60.3,22.1,64.2,,50.36,28.32,0
Volkswagen,SUV,NMC,FWD,802.0,360654.0,9.9,45.11,0.03378,0.8768,95.3,91.2,122.0,2016.0,89.48,41.36,1
BYD,Van,LFP,FWD,129.0,500.0,1.99,,0.00677,0.6,18.0,40.4,3.0,,94.94,48.53,0
Kia,Sedan,NMC,FWD,769.0,272597.0,10.03,36.81,0.03287,0.7067,59.0,30.0,89.7,2016.0,65.91,37.0,1
Renault,SUV,LMO,FWD,89.0,,,11.76,0.01259,0.498,35.6,,44.1,2024.0,91.55,45.88,0
GM,Crossover,NMC,AWD,160.0,67531.0,4.21,5.67,0.01001,0.439,47.8,27.4,47.6,2022.0,70.41,45.15,0
Volvo,Sedan,NMC,RWD,32.0,3248.0,6.81,1.34,0.00648,0.3834,45.1,44.3,10.0,2019.0,60.35,56.03,0
BMW,Crossover,NMC,RWD,404.0,117386.0,8.86,27.8,0.0339,0.6516,73.1,58.5,44.9,2017.0,67.13,34.35,1
Volkswagen,Truck,NMC,AWD,66.0,,1.97,2.28,,0.4274,47.8,40.5,13.4,2024.0,108.74,24.96,0
,Hatchback,LFP,FWD,469.0,118714.0,3.99,4.27,0.01744,0.6237,23.9,32.6,103.1,2022.0,50.48,,0
Ford,Sedan,LFP,FWD,737.0,222903.0,9.11,6.73,0.02009,0.6256,33.9,41.8,75.9,2017.0,57.21,43.6,0
Kia,SUV,NMC,FWD,190.0,85740.0,2.7,,0.0099,0.549,42.5,53.1,104.6,2023.0,84.31,51.6,0
Tesla,SUV,NCA,RWD,224.0,88214.0,3.9,14.06,0.01574,0.4574,57.2,51.0,79.3,2022.0,86.99,56.38,0
,Sedan,NMC,FWD,58.0,15994.0,2.94,4.87,0.00846,0.4069,50.5,17.8,16.3,2023.0,80.51,12.89,0
Kia,SUV,NMC,FWD,38.0,36862.0,2.85,0.2,0.00504,0.3427,56.8,0.0,47.3,2023.0,102.07,39.22,0
GM,Hatchback,NMC,AWD,564.0,144260.0,7.01,34.05,0.03212,0.7326,66.3,72.1,70.7,2019.0,46.13,46.45,1
MG,Crossover,LFP,FWD,46.0,17336.0,9.92,2.32,,0.6023,19.3,52.8,3.0,2016.0,67.67,42.12,0
Hyundai,Crossover,NMC,RWD,795.0,273354.0,9.95,40.08,0.0362,0.7993,76.9,44.1,93.8,2016.0,65.24,36.96,1
Lucid,Truck,NMC,FWD,9.0,12483.0,2.92,0.2,0.01055,0.4005,57.0,51.9,13.6,2023.0,131.34,58.47,0
Nissan,Hatchback,NMC,FWD,1160.0,267422.0,10.75,45.88,0.04297,0.7097,66.5,,83.1,2015.0,44.41,,1
Rivian,SUV,NMC,RWD,604.0,316795.0,9.04,35.85,0.03657,0.6941,67.5,62.5,117.7,2017.0,100.28,59.86,1
Mercedes,Crossover,NMC,AWD,596.0,221991.0,9.49,31.07,0.02842,0.6371,65.9,,78.6,2017.0,71.07,51.26,1
Renault,Crossover,LMO,,528.0,234291.0,11.1,47.83,0.04444,0.9412,72.7,26.0,67.6,,85.26,20.47,1
BYD,SUV,LFP,FWD,77.0,2826.0,1.93,1.89,0.01566,0.5984,14.8,33.7,24.3,2024.0,98.85,,0
Audi,Crossover,NMC,AWD,1053.0,335022.0,9.2,44.63,0.0325,0.7192,66.0,39.2,123.8,2017.0,70.38,43.5,1
Toyota,SUV,LFP,RWD,267.0,,11.1,3.77,0.00933,0.6497,23.5,43.8,30.8,2015.0,94.08,45.31,0
Tesla,SUV,NMC,AWD,652.0,276454.0,8.01,36.99,0.03537,0.10497,61.6,49.7,116.1,2018.0,88.12,31.16,1
Tesla,SUV,LFP,FWD,137.0,7539.0,10.99,0.2,0.01051,2.06745,19.8,29.4,3.0,2015.0,88.8,50.63,0
Ford,Hatchback,NMC,RWD,914.0,273520.0,8.94,39.12,0.02871,0.7239,63.4,45.7,98.7,2017.0,58.57,52.63,1
Volkswagen,SUV,NMC,AWD,164.0,75147.0,3.05,6.13,0.01585,0.3919,44.4,65.0,87.4,2023.0,92.93,48.65,0
Tesla,Crossover,NMC,RWD,231.0,82239.0,7.0,12.35,,0.4646,54.5,39.7,33.5,2019.0,70.42,32.65,0
Hyundai,Crossover,NMC,FWD,363.0,154482.0,11.01,20.87,0.0238,0.5515,52.0,11.3,45.1,2015.0,73.93,21.6,0
Volkswagen,Crossover,NMC,RWD,510.0,177359.0,10.91,21.96,0.02741,0.6026,63.9,11.8,51.1,2015.0,78.15,29.69,1
Kia,Hatchback,LFP,FWD,737.0,154866.0,9.09,7.84,0.01254,0.6171,23.2,18.1,58.5,2017.0,38.88,42.17,0
Kia,Hatchback,NMC,FWD,426.0,81449.0,10.99,,0.02434,0.7541,66.5,94.8,23.9,2015.0,36.05,43.24,1
Nissan,Crossover,NMC,,158.0,31057.0,2.06,8.81,0.01767,0.4605,49.6,20.6,60.7,2024.0,,,0
Kia,SUV,NMC,FWD,645.0,253003.0,9.19,31.01,0.03367,0.6968,57.2,46.6,92.1,2017.0,82.74,,0
BMW,Crossover,NMC,FWD,334.0,116099.0,9.77,15.0,0.01447,0.5379,61.6,29.2,40.2,2016.0,68.87,33.9,0
Kia,Van,LFP,AWD,490.0,209393.0,7.82,17.38,0.02229,0.8741,38.2,100.0,87.6,2018.0,81.24,48.74,0
Volkswagen,Sedan,NMC,AWD,185.0,70411.0,11.26,20.49,0.03049,0.6544,64.9,51.5,20.8,2015.0,,12.15,1
Lucid,Hatchback,NMC,FWD,,271423.0,10.18,39.03,0.02402,0.8275,74.7,23.8,91.2,2016.0,50.15,35.32,1
BYD,Crossover,LFP,FWD,225.0,54982.0,3.33,6.76,0.02177,0.6606,35.2,,62.0,2023.0,68.85,43.84,0
Renault,Sedan,NMC,,156.0,42235.0,4.02,7.98,0.01321,0.4858,41.0,32.9,39.1,2022.0,55.24,19.69,0
GM,Sedan,LFP,RWD,187.0,62058.0,3.05,0.2,0.0102,0.5269,25.6,0.0,47.9,2023.0,71.71,9.35,0
Mercedes,Sedan,NMC,FWD,734.0,288349.0,9.89,35.0,0.02986,0.6795,58.9,64.1,94.7,2016.0,67.62,,1
Tesla,Hatchback,NCA,FWD,,226234.0,9.02,40.38,0.0376,0.6094,77.0,67.6,85.8,2017.0,65.31,52.16,1
Lucid,Hatchback,NMC,FWD,1588.0,350981.0,11.0,54.76,0.04757,0.8489,78.4,55.9,104.9,2015.0,45.04,45.8,1
Toyota,SUV,LFP,AWD,69.0,500.0,2.11,0.2,0.00576,0.5163,15.5,14.7,3.0,2024.0,99.81,29.41,0
Honda,SUV,NMC,AWD,168.0,96047.0,4.86,8.64,0.01757,0.5168,52.4,16.2,69.0,2021.0,90.09,27.0,0
